month,excess_return,total_return,gross_return,cost,turnover,n_markets,equity_excess,equity_total
1989-02-01,-0.03641377,-0.02944547,-0.03402053,0.00239324,3.276258,19,0.963586,0.970555
1989-03-01,0.02892718,0.03615760,0.03104966,0.00212248,3.102576,19,0.991460,1.005647
1989-04-01,-0.00832317,-0.00093891,-0.00615470,0.00216847,2.934552,19,0.983208,1.004703
1989-05-01,0.08474154,0.09172528,0.08713967,0.00239812,3.663715,19,1.066527,1.096860
1989-06-01,0.00686829,0.01401399,0.00878633,0.00191805,2.320417,19,1.073852,1.112231
1989-07-01,0.00371005,0.01034576,0.00584078,0.00213074,2.427332,19,1.077836,1.123738
1989-08-01,-0.02880929,-0.02234420,-0.02694378,0.00186552,1.470746,19,1.046784,1.098629
1989-09-01,0.02317412,0.02973232,0.02621385,0.00303974,3.387551,19,1.071042,1.131294
1989-10-01,-0.00092834,0.00564536,0.00140984,0.00233819,3.387688,19,1.070048,1.137681
1989-11-01,0.02922461,0.03568970,0.03126318,0.00203856,2.448976,19,1.101320,1.178284
1989-12-01,0.02320547,0.02951516,0.02551125,0.00230579,2.503134,19,1.126876,1.213061
1990-01-01,-0.02853329,-0.02225471,-0.02580945,0.00272384,2.728079,19,1.094723,1.186065
1990-02-01,0.02501430,0.03144833,0.02781411,0.00279981,4.138379,20,1.122107,1.223365
1990-03-01,0.10129662,0.10776170,0.10360074,0.00230413,2.239528,20,1.235772,1.355197
1990-04-01,0.08167397,0.08816234,0.08338821,0.00171425,1.289589,20,1.336703,1.474674
1990-05-01,-0.07907890,-0.07259052,-0.07731770,0.00176120,2.003849,20,1.230998,1.367626
1990-06-01,0.01819128,0.02463308,0.02131200,0.00312072,3.289813,20,1.253391,1.401315
1990-07-01,0.06002371,0.06645774,0.06272380,0.00270009,3.411909,20,1.328624,1.494444
1990-08-01,0.08358281,0.08981471,0.08528053,0.00169771,1.514455,20,1.439675,1.628667
1990-09-01,0.05207282,0.05821907,0.05383329,0.00176047,2.278180,20,1.514642,1.723486
1990-10-01,-0.05787212,-0.05192864,-0.05622920,0.00164291,1.592696,20,1.426987,1.633988
1990-11-01,-0.02788066,-0.02196060,-0.02566237,0.00221828,2.805922,20,1.387202,1.598104
1990-12-01,0.00963262,0.01547455,0.01178942,0.00215679,2.831374,20,1.400564,1.622834
1991-01-01,0.03258001,0.03794390,0.03623089,0.00365088,3.844273,20,1.446194,1.684411
1991-02-01,0.00579431,0.01095369,0.00857515,0.00278084,3.131951,20,1.454574,1.702862
1991-03-01,0.01194378,0.01698496,0.01390372,0.00195994,2.642216,20,1.471947,1.731785
1991-04-01,0.01732315,0.02212748,0.01960174,0.00227859,3.051990,20,1.497446,1.770105
1991-05-01,-0.01006122,-0.00544682,-0.00703226,0.00302896,3.732958,20,1.482380,1.760463
1991-06-01,0.04031876,0.04495693,0.04394094,0.00362218,3.799072,20,1.542148,1.839608
1991-07-01,-0.09322857,-0.08859041,-0.09012017,0.00310840,4.229053,20,1.398375,1.676637
1991-08-01,0.06608891,0.07071915,0.06943081,0.00334190,5.016568,20,1.490792,1.795207
1991-09-01,0.03810833,0.04257210,0.03980551,0.00169717,1.790492,20,1.547604,1.871633
1991-10-01,0.00324087,0.00752195,0.00494476,0.00170390,1.545374,20,1.552620,1.885711
1991-11-01,-0.00050183,0.00354041,0.00160302,0.00210485,2.158676,20,1.551840,1.892387
1991-12-01,0.10540047,0.10905127,0.10756589,0.00216542,2.185984,20,1.715405,2.098754
1992-01-01,-0.06948124,-0.06623966,-0.06747633,0.00200490,2.252505,20,1.596217,1.959734
1992-02-01,0.01036542,0.01359091,0.01248942,0.00212401,2.564818,20,1.612762,1.986368
1992-03-01,-0.03160859,-0.02831074,-0.03021533,0.00139327,1.422266,20,1.561785,1.930133
1992-04-01,-0.06382189,-0.06042764,-0.05949418,0.00432771,6.145577,20,1.462109,1.813499
1992-05-01,-0.01164230,-0.00853754,-0.00571641,0.00592589,7.845973,20,1.445087,1.798016
1992-06-01,0.02046433,0.02356910,0.02436074,0.00389640,5.278464,20,1.474659,1.840394
1992-07-01,0.05745093,0.06044286,0.05977512,0.00232420,2.843375,20,1.559380,1.951633
1992-08-01,0.06029903,0.06296784,0.06216473,0.00186570,1.475708,20,1.653409,2.074523
1992-09-01,0.00265583,0.00530845,0.00417446,0.00151863,1.361497,20,1.657800,2.085535
